n,Agent,Final Avg Reward,AUC Avg Reward,Final % Optimal,AUC % Optimal
5,ε-greedy (ε=0.1),1.024044830439726,1.0230781915638691,86.6,83.39817500000001
5,"Optimistic (Q0=5, α=0.1)",1.1462367783502039,1.0946239808509304,91.55,85.830525
5,UCB (c=1),1.1646591311835224,1.141036419335452,96.3,92.865275
5,Softmax (τ=0.1),1.0556619298797465,1.0383530113760786,77.4,74.51995
5,Gradient bandit (α=0.1),1.160342765117497,1.1068632637795912,94.15,88.65132500000001
10,ε-greedy (ε=0.1),1.3983747805222362,1.3538482526602786,83.7,76.6199
10,"Optimistic (Q0=5, α=0.1)",1.5706773790963762,1.4187983280649772,89.05,80.200375
10,UCB (c=1),1.508847305277703,1.5186078648412769,94.9,90.58332500000002
10,Softmax (τ=0.1),1.3401559070761915,1.3060392166478427,60.3,55.943
10,Gradient bandit (α=0.1),1.542166519934726,1.451061874200169,88.5,81.6276
20,ε-greedy (ε=0.1),1.714765171032966,1.602856166640057,77.4,66.12095
20,"Optimistic (Q0=5, α=0.1)",1.858746615168647,1.6218925878543229,85.85,71.3403
20,UCB (c=1),1.8842495290318146,1.8265096327867012,94.75,87.27069999999999
20,Softmax (τ=0.1),1.4771289283525635,1.4277332553923485,36.7,33.592475
20,Gradient bandit (α=0.1),1.823468486629092,1.6778355728352252,74.25,66.997375
